invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall
I221958,C721055,Female,51,Toys,4,20.71,Cash,09/06/2021,Mall of Istanbul
I771155,C172177,Female,28,Souvenir,5,49.36,Debit Card,26/12/2021,Metrocity
I231932,C299340,Female,47,Books,5,39.26,Cash,03/03/2023,Istinye Park
I465838,C405846,Female,60,Cosmetics,5,81.02,Debit Card,29/01/2022,Emaar Square Mall
I359178,C253871,Female,52,Technology,5,260.06,Credit Card,24/10/2021,Cevahir AVM
I744167,C815475,Female,35,Toys,4,28.79,Credit Card,10/05/2021,Mall of Istanbul
I210268,C394111,Male,50,Clothing,3,73.82,Debit Card,07/02/2023,Viaport Outlet
I832180,C270143,Female,28,Cosmetics,5,70.99,Credit Card,10/05/2022,Torium
I154886,C274911,Male,28,Shoes,1,118.15,Debit Card,18/04/2022,Torium
I237337,C482911,Female,59,Cosmetics,4,111.34,Credit Card,06/03/2021,Viaport Outlet
I621430,C930862,Female,27,Food & Beverage,3,62.97,Debit Card,19/12/2022,Istinye Park
I187498,C847945,Female,20,Toys,4,93.95,Cash,14/01/2023,Kanyon
I999159,C667416,Female,53,Technology,2,171.76,Credit Card,08/03/2021,Istinye Park
I275203,C638033,Female,27,Books,3,41.82,Cash,31/01/2021,Cevahir AVM
I291335,C219069,Male,37,Food & Beverage,5,41.71,Debit Card,11/12/2021,Torium
I378167,C899698,Female,52,Cosmetics,1,59.14,Cash,09/06/2021,Mall of Istanbul
I141090,C779319,Female,52,Clothing,1,62.11,Credit Card,28/03/2022,Metropol AVM
I429365,C594529,Male,64,Toys,2,76.07,Credit Card,06/08/2022,Metrocity
I164820,C295753,Female,61,Clothing,1,73.2,Credit Card,31/07/2021,Istinye Park
I887201,C541851,Female,55,Toys,2,78.18,Cash,15/06/2022,Istinye Park
I421879,C623599,Female,30,Clothing,3,29.26,Debit Card,28/03/2021,Istinye Park
I818315,C252039,Female,21,Shoes,3,162.44,Credit Card,11/01/2023,Viaport Outlet
I427069,C490374,Female,39,Shoes,4,124.37,Debit Card,22/12/2021,Metrocity
I876997,C781059,Male,41,Shoes,1,145.03,Credit Card,28/01/2022,Zorlu Center
I299041,C114265,Female,69,Clothing,3,57.48,Credit Card,10/01/2021,Metrocity
I891743,C250248,Female,30,Clothing,3,47.64,Credit Card,23/05/2022,Metrocity
I203355,C895649,Female,54,Toys,1,53.92,Cash,19/02/2022,Kanyon
I335796,C806044,Female,62,Cosmetics,3,79.02,Credit Card,08/02/2022,Viaport Outlet
I314176,C952495,Male,47,Shoes,1,92.92,Debit Card,30/10/2021,Viaport Outlet
I284779,C815484,Female,63,Clothing,5,76.94,Debit Card,06/05/2022,Cevahir AVM
I447449,C668582,Female,36,Shoes,2,94.02,Cash,18/02/2021,Emaar Square Mall
I521909,C909654,Female,61,Toys,4,49.71,Credit Card,02/07/2021,Emaar Square Mall
